sample,rsr,memory_size
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,1.0,1
10,1.0,1
11,1.0,1
12,1.0,1
13,0.5,4
14,0.5,4
15,0.5,4
16,0.5,4
17,0.5,4
18,0.5,4
19,0.5,4
20,0.5,4
21,0.5,4
22,0.5,4
23,0.5,4
24,0.5,4
25,0.6666666666666666,6
26,0.6666666666666666,6
27,0.6666666666666666,6
28,0.6666666666666666,6
29,0.6666666666666666,6
30,0.6666666666666666,6
31,0.6666666666666666,6
32,0.6666666666666666,6
33,0.6666666666666666,6
34,0.6666666666666666,6
35,0.6666666666666666,6
36,0.6666666666666666,6
37,0.6666666666666666,6
38,0.6666666666666666,6
39,0.6666666666666666,6
40,0.6666666666666666,6
41,0.6666666666666666,6
42,0.6666666666666666,6
43,0.6666666666666666,6
44,0.6666666666666666,6
45,0.6666666666666666,6
46,0.6666666666666666,6
47,0.6666666666666666,6
48,0.6666666666666666,6
49,0.6666666666666666,6
50,0.5,9
