sample,rsr,memory_size
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,0.0,0
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,0.0,0
55,0.0,3
56,0.0,3
57,0.0,3
58,0.0,3
59,0.0,3
60,0.0,3
61,0.0,3
62,0.0,3
63,0.0,3
64,0.0,3
65,0.0,3
66,0.0,3
67,0.0,3
68,0.5,4
69,0.5,4
70,0.5,4
71,0.6666666666666666,5
72,0.6666666666666666,5
73,0.6666666666666666,5
74,0.6666666666666666,5
75,0.6666666666666666,5
76,0.6666666666666666,5
77,0.6666666666666666,5
78,0.6666666666666666,5
79,0.6666666666666666,5
80,0.6666666666666666,5
81,0.6666666666666666,5
82,0.6666666666666666,5
83,0.6666666666666666,5
84,0.6666666666666666,5
85,0.6666666666666666,5
86,0.6666666666666666,5
87,0.6666666666666666,5
88,0.6666666666666666,5
89,0.6666666666666666,5
90,0.6666666666666666,5
91,0.6666666666666666,5
92,0.6666666666666666,5
93,0.6666666666666666,5
94,0.6666666666666666,5
95,0.6666666666666666,5
96,0.6666666666666666,5
97,0.6666666666666666,5
98,0.6666666666666666,5
99,0.6666666666666666,5
100,0.6666666666666666,5
101,0.6666666666666666,5
102,0.6666666666666666,5
103,0.6666666666666666,5
104,0.6666666666666666,5
105,0.6666666666666666,5
106,0.6666666666666666,5
107,0.6666666666666666,5
108,0.6666666666666666,5
109,0.6666666666666666,5
110,0.6666666666666666,5
111,0.6666666666666666,5
112,0.6666666666666666,5
113,0.75,6
114,0.75,6
115,0.75,6
116,0.75,6
117,0.75,6
118,0.75,6
119,0.75,6
120,0.75,6
121,0.75,6
122,0.75,6
123,0.75,6
124,0.75,6
125,0.75,6
126,0.75,6
127,0.75,6
128,0.75,6
129,0.75,6
130,0.75,6
131,0.75,6
132,0.75,6
133,0.75,6
134,0.75,6
135,0.75,6
136,0.75,6
137,0.75,6
138,0.75,6
139,0.75,6
140,0.75,6
141,0.75,6
142,0.75,6
143,0.75,6
144,0.75,6
145,0.75,6
146,0.75,6
147,0.75,6
148,0.75,6
149,0.75,6
150,0.75,6
151,0.75,6
152,0.75,6
153,0.75,6
154,0.75,6
155,0.75,6
156,0.75,6
157,0.75,6
158,0.75,6
159,0.75,6
160,0.75,6
161,0.75,6
162,0.75,6
163,0.75,6
164,0.75,6
165,0.75,6
166,0.75,6
167,0.75,6
168,0.75,6
169,0.75,6
170,0.75,6
171,0.75,6
172,0.75,6
173,0.75,6
174,0.75,6
175,0.75,6
176,0.75,6
177,0.75,6
178,0.75,6
179,0.75,6
180,0.75,6
181,0.75,6
182,0.75,6
183,0.75,6
184,0.75,6
185,0.75,6
186,0.75,6
187,0.75,6
188,0.75,6
189,0.75,6
190,0.8,7
191,0.8333333333333334,8
192,0.8333333333333334,8
193,0.8333333333333334,8
194,0.8333333333333334,8
195,0.8333333333333334,8
196,0.8333333333333334,8
197,0.8333333333333334,8
198,0.8333333333333334,8
199,0.8333333333333334,8
200,0.8333333333333334,8
