index,question,ground_truth,baseline_output,baseline_correct,baseline_b_output,baseline_b_correct,baseline_b_flagged,first_attempt_output,first_attempt_correct,verif_flagged_invalid,verif_decision_correct,failure_types,pipeline_output,pipeline_attempts,pipeline_correct,recovery_triggered,recovery_succeeded,failure_memory_size_at_solve
0,"Passage: All biomass goes through at least some of these steps: it needs to be grown, collected, dried, fermented, distilled, and burned. All of these steps require resources and an infrastructure. The total amount of energy input into the process compared to the energy released by burning the resulting ethanol fuel is known as the energy balance (or ``energy returned on energy invested''). Figures compiled in a 2007 report by National Geographic Magazine point to modest results for corn ethanol",no,no,True,no,True,False,no,True,False,True,NONE,no,1,True,False,False,0
1,"Passage: Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It is and imposed on the Possessor (not the custodian of property as per 1978, 44th amendment of constitution). It resembles the US-type wealth tax and differs from the excise-type UK rate. The tax power is vested in the states and is delegated to local bodies, specifying the valuation method, rate band, and collection procedures. The tax base is the annual rental value (ARV) or area-based rating. Owne",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
2,"Passage: Phantom pain sensations are described as perceptions that an individual experiences relating to a limb or an organ that is not physically part of the body. Limb loss is a result of either removal by amputation or congenital limb deficiency. However, phantom limb sensations can also occur following nerve avulsion or spinal cord injury.

Question: is pain experienced in a missing body part or paralyzed area

Answer with ONLY 'yes' or 'no'.",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
3,"Passage: Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal Studios Florida, a theme park located within the Universal Orlando Resort. Similar to dark rides, the roller coaster utilizes special effects in a controlled-lighting environment and also employs motion-based 3-D projection of both animation and live-action sequences to enhance the experience. The ride, which is themed to the Gringotts Wizarding Bank, became the flagship attraction for the expanded",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
4,"Passage: Hydroxyzine preparations require a doctor's prescription. The drug is available in two formulations, the pamoate and the dihydrochloride or hydrochloride salts. Vistaril, Equipose, Masmoran, and Paxistil are preparations of the pamoate salt, while Atarax, Alamon, Aterax, Durrax, Tran-Q, Orgatrax, Quiess, and Tranquizine are of the hydrochloride salt.

Question: is there a difference between hydroxyzine hcl and hydroxyzine pam

Answer with ONLY 'yes' or 'no'.",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
5,"Passage: Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having caffeine. Barq's, created by Edward Barq and bottled since the turn of the 20th century, is owned by the Barq family but bottled by the Coca-Cola Company. It was known as Barq's Famous Olde Tyme Root Beer until 2012.

Question: is barq's root beer a pepsi product

Answer with ONLY 'yes' or 'no'.",no,no,True,no,True,False,no,True,False,True,NONE,no,1,True,False,False,0
6,"Passage: In mathematics, parity is the property of an integer's inclusion in one of two categories: even or odd. An integer is even if it is evenly divisible by two and odd if it is not even. For example, 6 is even because there is no remainder when dividing it by 2. By contrast, 3, 5, 7, 21 leave a remainder of 1 when divided by 2. Examples of even numbers include −4, 0, 82 and 178. In particular, zero is an even number. Some examples of odd numbers are −5, 3, 29, and 73.

Question: can an odd ",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
7,"Passage: Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwords; the only modern-English words that contain Q not followed by U and are not borrowed from another language are qiana, qwerty, and tranq. However, all of the loanwords on this list are considered to be naturalised in English according to at least one major dictionary (see References), often because they refer to concepts or societal roles that do not have an accurate equivalent in English. For wo",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,0
8,"Passage: Persons driving into Canada must have their vehicle's registration document and proof of insurance.

Question: can u drive in canada with us license

Answer with ONLY 'yes' or 'no'.",yes,no,False,no,False,True,no,False,True,True,LOGIC_GAP,yes,2,True,True,True,0
9,"Passage: The knockout stage of the 2018 FIFA World Cup was the second and final stage of the competition, following the group stage. It began on 30 June with the round of 16 and ended on 15 July with the final match, held at the Luzhniki Stadium in Moscow. The top two teams from each group (16 in total) advanced to the knockout stage to compete in a single-elimination style tournament. A third place play-off was also played between the two losing teams of the semi-finals.

Question: is there a p",yes,yes,True,yes,True,False,yes,True,False,True,NONE,yes,1,True,False,False,1
